,0
0,abat
1,abil
2,abl
3,abnorm
4,abolit
5,abroad
6,abrupt
7,abruptli
8,absenc
9,absent
10,absolut
11,absorb
12,absorpt
13,abstract
14,academ
15,acced
16,acceler
17,accentu
18,accept
19,access
20,accommod
21,accompani
22,accord
23,accordingli
24,account
25,accredit
26,accru
27,accumul
28,accur
29,accuraci
30,achiev
31,acknowledg
32,acquir
33,acquisit
34,across
35,act
36,action
37,activ
38,actual
39,actuari
40,acut
41,ad
42,adapt
43,add
44,addit
45,address
46,adequ
47,adequaci
48,adjust
49,administ
50,administr
51,adopt
52,adult
53,advanc
54,advantag
55,advers
56,advertis
57,aei
58,affect
59,afford
60,africa
61,aftermath
62,age
63,agenc
64,agenda
65,agent
66,aggreg
67,aggress
68,ago
69,agre
70,agreement
71,agricultur
72,ahead
73,aid
74,aim
75,air
76,aircraft
77,airfar
78,airlin
79,albeit
80,alcohol
81,alert
82,align
83,allevi
84,alli
85,alloc
86,allow
87,almost
88,alon
89,along
90,alongsid
91,alreadi
92,also
93,alter
94,altern
95,although
96,altogeth
97,alway
98,ambigu
99,amend
100,america
101,american
102,amid
103,among
104,amount
105,ampl
106,amplifi
107,anaem
108,analog
109,analys
110,analysi
111,analyst
112,analyt
113,anchor
114,anecdot
115,annex
116,announc
117,annual
118,annualis
119,annuiti
120,annum
121,anoth
122,answer
123,anticip
124,anxieti
125,anyth
126,anyway
127,apac
128,apart
129,apf
130,appar
131,appear
132,appetit
133,appli
134,applic
135,appreci
136,approach
137,appropri
138,approv
139,approxim
140,april
141,arabia
142,arabl
143,arbitrag
144,area
145,argentina
146,argu
147,arguabl
148,argument
149,aris
150,arithmet
151,around
152,arrang
153,array
154,arrear
155,arriv
156,articl
157,ascertain
158,ascrib
159,asean
160,asia
161,asian
162,asid
163,ask
164,aspect
165,assess
166,asset
167,assign
168,assist
169,associ
170,assum
171,assumpt
172,assur
173,asymmetr
174,atm
175,atrophi
176,attach
177,attack
178,attain
179,attempt
180,attent
181,attenu
182,attitud
183,attract
184,attribut
185,auction
186,augment
187,august
188,australia
189,author
190,authoris
191,auto
192,automat
193,autumn
194,auxiliari
195,avail
196,averag
197,avers
198,avoid
199,awar
200,award
201,away
202,awe
203,b
204,babi
205,back
206,backcast
207,backdat
208,backdrop
209,background
210,backlog
211,backrun
212,backstop
213,backward
214,bad
215,balanc
216,ban
217,band
218,bank
219,banker
